,AROT_H,AROT_M,AROT_L,AROT_UM,AROT_J,AROT_S,DROT_H,DROT_M,DROT_L,DROT_UM,DROT_J,DROT_S
74,67.0,57.0,,58.0,67.0,,46.0,52.0,,48.0,40.0,
75,72.0,51.0,,60.0,106.0,,42.0,53.0,,47.0,41.0,
76,69.0,51.0,,62.0,124.0,,38.0,47.0,,36.0,38.0,
77,67.0,66.0,,52.0,120.0,,33.0,33.0,,41.0,45.0,
78,63.0,53.0,,64.0,62.0,,51.0,28.0,,34.0,36.0,
79,56.0,54.0,,57.0,111.0,,56.0,37.0,,43.0,44.0,
80,61.0,52.0,,58.0,108.0,,54.0,29.0,,38.0,37.0,
81,69.0,63.0,,65.0,99.0,,44.0,35.0,,42.0,37.0,
82,61.0,55.0,,59.0,67.0,,52.0,44.0,,47.0,42.0,
83,64.0,51.0,,49.0,101.0,,52.0,37.0,,46.0,36.0,
84,61.0,52.0,,54.0,119.0,,51.0,29.0,,35.0,41.0,
85,69.0,58.0,,60.0,116.0,,37.0,44.0,,43.0,34.0,
86,66.0,56.0,,63.0,66.0,,42.0,35.0,,29.0,35.0,
87,64.0,62.0,,56.0,101.0,,46.0,35.0,,65.0,41.0,
88,65.0,54.0,,60.0,65.0,,50.0,38.0,,36.0,31.0,
89,65.0,54.0,,72.0,94.0,,54.0,38.0,,42.0,39.0,
90,68.0,56.0,,58.0,60.0,,44.0,35.0,,46.0,35.0,
91,62.0,54.0,,52.0,100.0,,47.0,43.0,,42.0,42.0,
92,64.0,59.0,,65.0,62.0,,55.0,28.0,,40.0,44.0,
93,77.0,56.0,,64.0,114.0,,72.0,69.0,,75.0,49.0,
94,59.0,54.0,,57.0,106.0,,52.0,46.0,,36.0,38.0,
95,69.0,56.0,,67.0,110.0,,45.0,31.0,,46.0,33.0,
96,65.0,57.0,,57.0,102.0,,40.0,44.0,,36.0,37.0,
97,64.0,59.0,,52.0,102.0,,50.0,30.0,,39.0,37.0,
98,63.0,50.0,,62.0,113.0,,43.0,34.0,,43.0,42.0,
99,61.0,54.0,,59.0,113.0,,53.0,39.0,,39.0,36.0,
100,60.0,57.0,,50.0,105.0,,45.0,32.0,,40.0,37.0,
101,73.0,68.0,,53.0,58.0,,38.0,51.0,,42.0,42.0,
102,67.0,56.0,,63.0,107.0,,57.0,38.0,,41.0,40.0,
103,72.0,53.0,,59.0,99.0,,53.0,52.0,,92.0,40.0,
104,62.0,57.0,,64.0,100.0,,45.0,55.0,,44.0,43.0,
