,AROT_H,AROT_M,AROT_L,AROT_UM,AROT_J,AROT_S,DROT_H,DROT_M,DROT_L,DROT_UM,DROT_J,DROT_S
10453,,54.0,,,,,,45.0,,,,
10454,,60.0,,,,,,39.0,,,,
10455,,58.0,,,,,,40.0,,,,
10456,,65.0,,,,,,42.0,,,,
10457,,52.0,,,,,,28.0,,,,
10458,,57.0,,,,,,59.0,,,,
10459,,61.0,,,,,,38.0,,,,
10460,,60.0,,,,,,54.0,,,,
10461,,56.0,,,,,,40.0,,,,
10462,,61.0,,,,,,35.0,,,,
10463,,69.0,,,,,,47.0,,,,
10464,,54.0,,,,,,37.0,,,,
10465,,62.0,,,,,,30.0,,,,
10466,,54.0,,,,,,39.0,,,,
10467,,63.0,,,,,,40.0,,,,
10468,,58.0,,,,,,34.0,,,,
10469,,57.0,,,,,,53.0,,,,
10470,,55.0,,,,,,34.0,,,,
10471,,52.0,,,,,,37.0,,,,
10472,,64.0,,,,,,33.0,,,,
10473,,55.0,,,,,,50.0,,,,
10474,,59.0,,,,,,44.0,,,,
10475,,48.0,,,,,,49.0,,,,
10476,,65.0,,,,,,49.0,,,,
10477,,58.0,,,,,,39.0,,,,
10478,,65.0,,,,,,44.0,,,,
10479,,57.0,,,,,,42.0,,,,
10480,,57.0,,,,,,33.0,,,,
10481,,60.0,,,,,,35.0,,,,
10482,,60.0,,,,,,37.0,,,,
10483,,61.0,,,,,,37.0,,,,
10484,,60.0,,,,,,32.0,,,,
10485,,54.0,,,,,,33.0,,,,
10486,,67.0,,,,,,28.0,,,,
10487,,59.0,,,,,,48.0,,,,
10488,,62.0,,,,,,45.0,,,,
10489,,66.0,,,,,,37.0,,,,
10490,,62.0,,,,,,38.0,,,,
10491,,61.0,,,,,,31.0,,,,
10492,,64.0,,,,,,36.0,,,,
10493,,59.0,,,,,,34.0,,,,
10494,,55.0,,,,,,31.0,,,,
10495,,61.0,,,,,,32.0,,,,
10496,,59.0,,,,,,35.0,,,,
10497,,60.0,,,,,,38.0,,,,
10498,,54.0,,,,,,54.0,,,,
10499,,55.0,,,,,,29.0,,,,
10500,,62.0,,,,,,33.0,,,,
10501,,65.0,,,,,,50.0,,,,
10502,,52.0,,,,,,48.0,,,,
10503,,52.0,,,,,,40.0,,,,
10504,,54.0,,,,,,36.0,,,,
10505,,55.0,,,,,,34.0,,,,
10506,,50.0,,,,,,46.0,,,,
10507,,59.0,,,,,,32.0,,,,
10508,,49.0,,,,,,46.0,,,,
10509,,53.0,,,,,,36.0,,,,
10510,,59.0,,,,,,34.0,,,,
10511,,56.0,,,,,,44.0,,,,
10512,,64.0,,,,,,44.0,,,,
10513,,52.0,,,,,,48.0,,,,
10514,,50.0,,,,,,51.0,,,,
10515,,48.0,,,,,,42.0,,,,
10516,,58.0,,,,,,45.0,,,,
10517,,63.0,,,,,,33.0,,,,
10518,,54.0,,,,,,42.0,,,,
10519,,60.0,,,,,,54.0,,,,
10520,,55.0,,,,,,35.0,,,,
10521,,49.0,,,,,,46.0,,,,
10522,,58.0,,,,,,35.0,,,,
10523,,59.0,,,,,,35.0,,,,
10524,,52.0,,,,,,47.0,,,,
10525,,53.0,,,,,,34.0,,,,
10526,,65.0,,,,,,48.0,,,,
10527,,57.0,,,,,,49.0,,,,
10528,,47.0,,,,,,27.0,,,,
10529,,50.0,,,,,,32.0,,,,
10530,,58.0,,,,,,45.0,,,,
10531,,54.0,,,,,,26.0,,,,
10532,,54.0,,,,,,35.0,,,,
10533,,65.0,,,,,,46.0,,,,
10534,,72.0,,,,,,44.0,,,,
10535,,51.0,,,,,,34.0,,,,
10536,,65.0,,,,,,35.0,,,,
10537,,60.0,,,,,,47.0,,,,
10538,,59.0,,,,,,38.0,,,,
10539,,56.0,,,,,,38.0,,,,
10540,,72.0,,,,,,41.0,,,,
10541,,61.0,,,,,,32.0,,,,
10542,,59.0,,,,,,32.0,,,,
10543,,60.0,,,,,,34.0,,,,
10544,,53.0,,,,,,39.0,,,,
10545,,68.0,,,,,,34.0,,,,
10546,,56.0,,,,,,53.0,,,,
10547,,56.0,,,,,,33.0,,,,
10548,,52.0,,,,,,37.0,,,,
10549,,50.0,,,,,,51.0,,,,
10550,,62.0,,,,,,31.0,,,,
10551,,69.0,,,,,,32.0,,,,
10552,,53.0,,,,,,33.0,,,,
10553,,59.0,,,,,,46.0,,,,
10554,,60.0,,,,,,32.0,,,,
10555,,55.0,,,,,,31.0,,,,
10556,,52.0,,,,,,37.0,,,,
10557,,57.0,,,,,,40.0,,,,
10558,,61.0,,,,,,29.0,,,,
10559,,49.0,,,,,,40.0,,,,
10560,,54.0,,,,,,32.0,,,,
10561,,58.0,,,,,,33.0,,,,
10562,,51.0,,,,,,37.0,,,,
10563,,74.0,,,,,,59.0,,,,
10564,,53.0,,,,,,40.0,,,,
10565,,62.0,,,,,,42.0,,,,
10566,,53.0,,,,,,30.0,,,,
10567,,54.0,,,,,,36.0,,,,
10568,,54.0,,,,,,25.0,,,,
10569,,64.0,,,,,,42.0,,,,
10570,,54.0,,,,,,26.0,,,,
10571,,58.0,,,,,,47.0,,,,
10572,,55.0,,,,,,39.0,,,,
10573,,51.0,,,,,,27.0,,,,
10574,,53.0,,,,,,48.0,,,,
10575,,53.0,,,,,,34.0,,,,
10576,,61.0,,,,,,51.0,,,,
10577,,53.0,,,,,,39.0,,,,
10578,,46.0,,,,,,30.0,,,,
10579,,54.0,,,,,,27.0,,,,
10580,,59.0,,,,,,48.0,,,,
10581,,66.0,,,,,,35.0,,,,
10582,,56.0,,,,,,34.0,,,,
10583,,56.0,,,,,,41.0,,,,
10584,,57.0,,,,,,39.0,,,,
10585,,62.0,,,,,,60.0,,,,
10586,,65.0,,,,,,44.0,,,,
10587,,58.0,,,,,,35.0,,,,
10588,,55.0,,,,,,33.0,,,,
10589,,62.0,,,,,,87.0,,,,
10590,,52.0,,,,,,49.0,,,,
10591,,56.0,,,,,,47.0,,,,
10592,,54.0,,,,,,40.0,,,,
10593,,62.0,,,,,,32.0,,,,
10594,,58.0,,,,,,50.0,,,,
10595,,55.0,,,,,,51.0,,,,
10596,,51.0,,,,,,35.0,,,,
10597,,57.0,,,,,,27.0,,,,
10598,,54.0,,,,,,28.0,,,,
10599,,55.0,,,,,,30.0,,,,
10600,,55.0,,,,,,46.0,,,,
10601,,50.0,,,,,,50.0,,,,
10602,,61.0,,,,,,54.0,,,,
10603,,65.0,,,,,,33.0,,,,
10604,,58.0,,,,,,40.0,,,,
10605,,60.0,,,,,,31.0,,,,
10606,,63.0,,,,,,43.0,,,,
10607,,53.0,,,,,,55.0,,,,
10608,,64.0,,,,,,38.0,,,,
10609,,58.0,,,,,,44.0,,,,
10610,,55.0,,,,,,37.0,,,,
10611,,54.0,,,,,,29.0,,,,
10612,,48.0,,,,,,39.0,,,,
10613,,60.0,,,,,,41.0,,,,
10614,,52.0,,,,,,43.0,,,,
10615,,53.0,,,,,,37.0,,,,
10616,,61.0,,,,,,32.0,,,,
10617,,56.0,,,,,,35.0,,,,
10618,,61.0,,,,,,33.0,,,,
10619,,57.0,,,,,,32.0,,,,
10620,,48.0,,,,,,37.0,,,,
10621,,49.0,,,,,,39.0,,,,
10622,,67.0,,,,,,30.0,,,,
10623,,72.0,,,,,,42.0,,,,
10624,,55.0,,,,,,28.0,,,,
10625,,57.0,,,,,,34.0,,,,
10626,,63.0,,,,,,51.0,,,,
10627,,53.0,,,,,,61.0,,,,
10628,,54.0,,,,,,32.0,,,,
10629,,55.0,,,,,,38.0,,,,
10630,,58.0,,,,,,43.0,,,,
10631,,58.0,,,,,,41.0,,,,
10632,,63.0,,,,,,46.0,,,,
10633,,50.0,,,,,,28.0,,,,
10634,,57.0,,,,,,34.0,,,,
10635,,57.0,,,,,,36.0,,,,
10636,,53.0,,,,,,81.0,,,,
10637,,53.0,,,,,,27.0,,,,
10638,,55.0,,,,,,38.0,,,,
10639,,56.0,,,,,,33.0,,,,
10640,,53.0,,,,,,35.0,,,,
10641,,62.0,,,,,,35.0,,,,
10642,,56.0,,,,,,62.0,,,,
10643,,60.0,,,,,,36.0,,,,
10644,,58.0,,,,,,33.0,,,,
10645,,53.0,,,,,,41.0,,,,
10646,,55.0,,,,,,38.0,,,,
10647,,56.0,,,,,,41.0,,,,
10648,,50.0,,,,,,47.0,,,,
10649,,54.0,,,,,,36.0,,,,
10650,,60.0,,,,,,47.0,,,,
10651,,58.0,,,,,,42.0,,,,
10652,,60.0,,,,,,45.0,,,,
10653,,60.0,,,,,,56.0,,,,
10654,,55.0,,,,,,33.0,,,,
10655,,61.0,,,,,,53.0,,,,
10656,,52.0,,,,,,39.0,,,,
10657,,60.0,,,,,,44.0,,,,
10658,,63.0,,,,,,31.0,,,,
10659,,53.0,,,,,,32.0,,,,
10660,,67.0,,,,,,47.0,,,,
10661,,53.0,,,,,,39.0,,,,
10662,,49.0,,,,,,44.0,,,,
10663,,62.0,,,,,,43.0,,,,
10664,,51.0,,,,,,31.0,,,,
10665,,49.0,,,,,,45.0,,,,
10666,,68.0,,,,,,41.0,,,,
10667,,52.0,,,,,,41.0,,,,
10668,,72.0,,,,,,35.0,,,,
10669,,55.0,,,,,,39.0,,,,
10670,,55.0,,,,,,34.0,,,,
10671,,55.0,,,,,,52.0,,,,
10672,,58.0,,,,,,39.0,,,,
10673,,57.0,,,,,,37.0,,,,
10674,,58.0,,,,,,60.0,,,,
10675,,58.0,,,,,,35.0,,,,
10676,,50.0,,,,,,41.0,,,,
10677,,55.0,,,,,,52.0,,,,
10678,,50.0,,,,,,31.0,,,,
10679,,57.0,,,,,,35.0,,,,
10680,,66.0,,,,,,39.0,,,,
10681,,58.0,,,,,,37.0,,,,
10682,,54.0,,,,,,39.0,,,,
10683,,58.0,,,,,,36.0,,,,
10684,,53.0,,,,,,41.0,,,,
10685,,54.0,,,,,,36.0,,,,
10686,,52.0,,,,,,46.0,,,,
10687,,59.0,,,,,,37.0,,,,
10688,,52.0,,,,,,28.0,,,,
10689,,61.0,,,,,,47.0,,,,
10690,,53.0,,,,,,53.0,,,,
10691,,55.0,,,,,,40.0,,,,
10692,,49.0,,,,,,41.0,,,,
10693,,58.0,,,,,,46.0,,,,
10694,,54.0,,,,,,39.0,,,,
10695,,56.0,,,,,,34.0,,,,
10696,,54.0,,,,,,39.0,,,,
10697,,53.0,,,,,,41.0,,,,
10698,,54.0,,,,,,27.0,,,,
10699,,58.0,,,,,,43.0,,,,
10700,,56.0,,,,,,38.0,,,,
10701,,51.0,,,,,,35.0,,,,
10702,,51.0,,,,,,34.0,,,,
10703,,49.0,,,,,,54.0,,,,
10704,,53.0,,,,,,29.0,,,,
10705,,50.0,,,,,,53.0,,,,
10706,,55.0,,,,,,45.0,,,,
10707,,56.0,,,,,,37.0,,,,
10708,,60.0,,,,,,51.0,,,,
10709,,60.0,,,,,,38.0,,,,
10710,,57.0,,,,,,33.0,,,,
10711,,49.0,,,,,,35.0,,,,
10712,,54.0,,,,,,41.0,,,,
10713,,49.0,,,,,,35.0,,,,
10714,,62.0,,,,,,33.0,,,,
10715,,46.0,,,,,,36.0,,,,
10716,,58.0,,,,,,55.0,,,,
10717,,54.0,,,,,,41.0,,,,
10718,,61.0,,,,,,30.0,,,,
10719,,49.0,,,,,,41.0,,,,
10720,,53.0,,,,,,28.0,,,,
10721,,56.0,,,,,,45.0,,,,
10722,,52.0,,,,,,45.0,,,,
10723,,55.0,,,,,,46.0,,,,
10724,,57.0,,,,,,56.0,,,,
10725,,54.0,,,,,,59.0,,,,
10726,,50.0,,,,,,61.0,,,,
10727,,48.0,,,,,,45.0,,,,
10728,,48.0,,,,,,40.0,,,,
10729,,52.0,,,,,,60.0,,,,
10730,,61.0,,,,,,31.0,,,,
10731,,55.0,,,,,,41.0,,,,
10732,,57.0,,,,,,29.0,,,,
10733,,56.0,,,,,,39.0,,,,
10734,,57.0,,,,,,36.0,,,,
10735,,52.0,,,,,,36.0,,,,
10736,,57.0,,,,,,28.0,,,,
10737,,55.0,,,,,,44.0,,,,
10738,,60.0,,,,,,33.0,,,,
10739,,48.0,,,,,,62.0,,,,
10740,,54.0,,,,,,36.0,,,,
10741,,60.0,,,,,,43.0,,,,
10742,,61.0,,,,,,58.0,,,,
10743,,62.0,,,,,,36.0,,,,
10744,,62.0,,,,,,39.0,,,,
10745,,53.0,,,,,,43.0,,,,
10746,,63.0,,,,,,39.0,,,,
10747,,65.0,,,,,,48.0,,,,
10748,,65.0,,,,,,33.0,,,,
10749,,58.0,,,,,,54.0,,,,
10750,,49.0,,,,,,35.0,,,,
10751,,58.0,,,,,,45.0,,,,
10752,,59.0,,,,,,46.0,,,,
10753,,53.0,,,,,,36.0,,,,
10754,,57.0,,,,,,47.0,,,,
10755,,55.0,,,,,,35.0,,,,
10756,,62.0,,,,,,47.0,,,,
10757,,55.0,,,,,,39.0,,,,
10758,,49.0,,,,,,43.0,,,,
10759,,55.0,,,,,,34.0,,,,
10760,,77.0,,,,,,38.0,,,,
10761,,60.0,,,,,,31.0,,,,
10762,,58.0,,,,,,49.0,,,,
10763,,51.0,,,,,,27.0,,,,
10764,,57.0,,,,,,34.0,,,,
10765,,63.0,,,,,,32.0,,,,
10766,,56.0,,,,,,33.0,,,,
10767,,57.0,,,,,,44.0,,,,
10768,,49.0,,,,,,29.0,,,,
10769,,53.0,,,,,,31.0,,,,
10770,,47.0,,,,,,40.0,,,,
10771,,54.0,,,,,,55.0,,,,
10772,,54.0,,,,,,37.0,,,,
10773,,51.0,,,,,,44.0,,,,
10774,,54.0,,,,,,44.0,,,,
10775,,59.0,,,,,,33.0,,,,
10776,,56.0,,,,,,30.0,,,,
10777,,56.0,,,,,,35.0,,,,
10778,,58.0,,,,,,46.0,,,,
10779,,63.0,,,,,,41.0,,,,
10780,,61.0,,,,,,41.0,,,,
10781,,59.0,,,,,,36.0,,,,
10782,,59.0,,,,,,43.0,,,,
10783,,76.0,,,,,,37.0,,,,
10784,,64.0,,,,,,33.0,,,,
10785,,60.0,,,,,,50.0,,,,
10786,,61.0,,,,,,49.0,,,,
10787,,54.0,,,,,,31.0,,,,
10788,,65.0,,,,,,43.0,,,,
10789,,53.0,,,,,,42.0,,,,
10790,,63.0,,,,,,39.0,,,,
10791,,76.0,,,,,,28.0,,,,
10792,,58.0,,,,,,26.0,,,,
10793,,60.0,,,,,,33.0,,,,
10794,,58.0,,,,,,42.0,,,,
10795,,56.0,,,,,,34.0,,,,
10796,,66.0,,,,,,55.0,,,,
10797,,59.0,,,,,,42.0,,,,
10798,,56.0,,,,,,39.0,,,,
10799,,56.0,,,,,,41.0,,,,
10800,,53.0,,,,,,46.0,,,,
10801,,64.0,,,,,,30.0,,,,
10802,,56.0,,,,,,26.0,,,,
10803,,60.0,,,,,,36.0,,,,
10804,,62.0,,,,,,33.0,,,,
10805,,54.0,,,,,,49.0,,,,
10806,,53.0,,,,,,64.0,,,,
10807,,57.0,,,,,,37.0,,,,
10808,,60.0,,,,,,34.0,,,,
10809,,64.0,,,,,,40.0,,,,
10810,,47.0,,,,,,35.0,,,,
10811,,54.0,,,,,,46.0,,,,
10812,,58.0,,,,,,35.0,,,,
10813,,65.0,,,,,,36.0,,,,
10814,,60.0,,,,,,31.0,,,,
10815,,59.0,,,,,,37.0,,,,
10816,,64.0,,,,,,39.0,,,,
10817,,56.0,,,,,,44.0,,,,
10818,,61.0,,,,,,52.0,,,,
10819,,64.0,,,,,,33.0,,,,
10820,,55.0,,,,,,42.0,,,,
10821,,60.0,,,,,,35.0,,,,
10822,,58.0,,,,,,50.0,,,,
10823,,60.0,,,,,,37.0,,,,
10824,,57.0,,,,,,38.0,,,,
10825,,56.0,,,,,,31.0,,,,
10826,,57.0,,,,,,32.0,,,,
10827,,62.0,,,,,,39.0,,,,
10828,,62.0,,,,,,31.0,,,,
10829,,63.0,,,,,,43.0,,,,
10830,,53.0,,,,,,33.0,,,,
10831,,59.0,,,,,,42.0,,,,
10832,,64.0,,,,,,29.0,,,,
10833,,64.0,,,,,,38.0,,,,
10834,,55.0,,,,,,34.0,,,,
10835,,52.0,,,,,,33.0,,,,
10836,,48.0,,,,,,45.0,,,,
10837,,47.0,,,,,,34.0,,,,
10838,,56.0,,,,,,35.0,,,,
10839,,57.0,,,,,,49.0,,,,
10840,,53.0,,,,,,34.0,,,,
10841,,49.0,,,,,,51.0,,,,
10842,,50.0,,,,,,44.0,,,,
10843,,42.0,,,,,,43.0,,,,
10844,,71.0,,,,,,52.0,,,,
10845,,56.0,,,,,,46.0,,,,
10846,,56.0,,,,,,35.0,,,,
10847,,54.0,,,,,,57.0,,,,
10848,,48.0,,,,,,56.0,,,,
10849,,55.0,,,,,,38.0,,,,
10850,,49.0,,,,,,39.0,,,,
10851,,63.0,,,,,,40.0,,,,
10852,,57.0,,,,,,23.0,,,,
10853,,57.0,,,,,,49.0,,,,
10854,,51.0,,,,,,33.0,,,,
10855,,52.0,,,,,,35.0,,,,
10856,,50.0,,,,,,47.0,,,,
10857,,57.0,,,,,,26.0,,,,
10858,,58.0,,,,,,64.0,,,,
10859,,51.0,,,,,,45.0,,,,
10860,,53.0,,,,,,47.0,,,,
10861,,52.0,,,,,,38.0,,,,
10862,,55.0,,,,,,40.0,,,,
10863,,59.0,,,,,,43.0,,,,
10864,,53.0,,,,,,40.0,,,,
10865,,57.0,,,,,,35.0,,,,
10866,,62.0,,,,,,36.0,,,,
10867,,60.0,,,,,,45.0,,,,
10868,,87.0,,,,,,34.0,,,,
10869,,62.0,,,,,,41.0,,,,
10870,,55.0,,,,,,53.0,,,,
10871,,55.0,,,,,,33.0,,,,
10872,,54.0,,,,,,32.0,,,,
10873,,52.0,,,,,,28.0,,,,
10874,,58.0,,,,,,47.0,,,,
10875,,53.0,,,,,,61.0,,,,
10876,,51.0,,,,,,34.0,,,,
10877,,46.0,,,,,,37.0,,,,
10878,,51.0,,,,,,38.0,,,,
10879,,52.0,,,,,,31.0,,,,
10880,,52.0,,,,,,31.0,,,,
10881,,50.0,,,,,,53.0,,,,
10882,,53.0,,,,,,58.0,,,,
10883,,59.0,,,,,,56.0,,,,
10884,,60.0,,,,,,37.0,,,,
10885,,53.0,,,,,,47.0,,,,
10886,,55.0,,,,,,34.0,,,,
10887,,56.0,,,,,,40.0,,,,
10888,,53.0,,,,,,35.0,,,,
10889,,55.0,,,,,,41.0,,,,
10890,,49.0,,,,,,40.0,,,,
10891,,58.0,,,,,,33.0,,,,
10892,,57.0,,,,,,41.0,,,,
10893,,51.0,,,,,,41.0,,,,
10894,,53.0,,,,,,33.0,,,,
10895,,51.0,,,,,,33.0,,,,
10896,,55.0,,,,,,41.0,,,,
10897,,54.0,,,,,,35.0,,,,
10898,,58.0,,,,,,42.0,,,,
10899,,58.0,,,,,,52.0,,,,
10900,,58.0,,,,,,35.0,,,,
10901,,58.0,,,,,,26.0,,,,
10902,,58.0,,,,,,32.0,,,,
10903,,55.0,,,,,,46.0,,,,
10904,,52.0,,,,,,41.0,,,,
10905,,59.0,,,,,,31.0,,,,
10906,,53.0,,,,,,41.0,,,,
10907,,60.0,,,,,,36.0,,,,
10908,,48.0,,,,,,38.0,,,,
10909,,61.0,,,,,,31.0,,,,
10910,,50.0,,,,,,36.0,,,,
10911,,55.0,,,,,,29.0,,,,
10912,,53.0,,,,,,23.0,,,,
10913,,51.0,,,,,,37.0,,,,
10914,,80.0,,,,,,43.0,,,,
10915,,54.0,,,,,,38.0,,,,
10916,,57.0,,,,,,50.0,,,,
10917,,52.0,,,,,,38.0,,,,
10918,,56.0,,,,,,38.0,,,,
10919,,55.0,,,,,,55.0,,,,
10920,,55.0,,,,,,33.0,,,,
10921,,60.0,,,,,,43.0,,,,
10922,,53.0,,,,,,42.0,,,,
10923,,54.0,,,,,,34.0,,,,
10924,,53.0,,,,,,36.0,,,,
10925,,59.0,,,,,,33.0,,,,
10926,,55.0,,,,,,28.0,,,,
10927,,55.0,,,,,,33.0,,,,
10928,,54.0,,,,,,73.0,,,,
10929,,50.0,,,,,,36.0,,,,
10930,,55.0,,,,,,55.0,,,,
10931,,49.0,,,,,,46.0,,,,
10932,,55.0,,,,,,36.0,,,,
10933,,51.0,,,,,,36.0,,,,
10934,,49.0,,,,,,30.0,,,,
10935,,51.0,,,,,,54.0,,,,
10936,,60.0,,,,,,44.0,,,,
10937,,58.0,,,,,,43.0,,,,
10938,,51.0,,,,,,51.0,,,,
10939,,60.0,,,,,,38.0,,,,
10940,,55.0,,,,,,33.0,,,,
10941,,66.0,,,,,,41.0,,,,
10942,,55.0,,,,,,37.0,,,,
10943,,56.0,,,,,,44.0,,,,
10944,,58.0,,,,,,34.0,,,,
10945,,63.0,,,,,,27.0,,,,
10946,,54.0,,,,,,41.0,,,,
10947,,63.0,,,,,,33.0,,,,
10948,,56.0,,,,,,42.0,,,,
10949,,55.0,,,,,,26.0,,,,
10950,,49.0,,,,,,37.0,,,,
10951,,60.0,,,,,,53.0,,,,
10952,,56.0,,,,,,55.0,,,,
10953,,65.0,,,,,,39.0,,,,
10954,,49.0,,,,,,44.0,,,,
10955,,56.0,,,,,,41.0,,,,
10956,,68.0,,,,,,33.0,,,,
10957,,53.0,,,,,,32.0,,,,
10958,,52.0,,,,,,39.0,,,,
10959,,48.0,,,,,,42.0,,,,
10960,,60.0,,,,,,41.0,,,,
10961,,75.0,,,,,,38.0,,,,
10962,,51.0,,,,,,56.0,,,,
10963,,59.0,,,,,,38.0,,,,
10964,,54.0,,,,,,39.0,,,,
10965,,63.0,,,,,,42.0,,,,
10966,,54.0,,,,,,41.0,,,,
10967,,67.0,,,,,,43.0,,,,
10968,,56.0,,,,,,27.0,,,,
10969,,60.0,,,,,,42.0,,,,
10970,,50.0,,,,,,41.0,,,,
10971,,55.0,,,,,,49.0,,,,
10972,,57.0,,,,,,34.0,,,,
10973,,54.0,,,,,,31.0,,,,
10974,,56.0,,,,,,40.0,,,,
10975,,63.0,,,,,,36.0,,,,
10976,,53.0,,,,,,39.0,,,,
10977,,54.0,,,,,,45.0,,,,
10978,,68.0,,,,,,46.0,,,,
10979,,60.0,,,,,,40.0,,,,
10980,,58.0,,,,,,28.0,,,,
10981,,53.0,,,,,,38.0,,,,
10982,,53.0,,,,,,40.0,,,,
10983,,57.0,,,,,,33.0,,,,
10984,,52.0,,,,,,54.0,,,,
10985,,53.0,,,,,,42.0,,,,
10986,,53.0,,,,,,43.0,,,,
10987,,55.0,,,,,,33.0,,,,
10988,,54.0,,,,,,38.0,,,,
10989,,56.0,,,,,,34.0,,,,
10990,,56.0,,,,,,44.0,,,,
10991,,61.0,,,,,,41.0,,,,
10992,,49.0,,,,,,35.0,,,,
10993,,56.0,,,,,,30.0,,,,
10994,,59.0,,,,,,44.0,,,,
10995,,54.0,,,,,,33.0,,,,
10996,,56.0,,,,,,41.0,,,,
10997,,56.0,,,,,,38.0,,,,
10998,,60.0,,,,,,49.0,,,,
10999,,61.0,,,,,,42.0,,,,
11000,,52.0,,,,,,44.0,,,,
11001,,58.0,,,,,,59.0,,,,
11002,,55.0,,,,,,36.0,,,,
11003,,55.0,,,,,,41.0,,,,
11004,,61.0,,,,,,53.0,,,,
11005,,52.0,,,,,,44.0,,,,
11006,,50.0,,,,,,36.0,,,,
11007,,54.0,,,,,,36.0,,,,
11008,,63.0,,,,,,40.0,,,,
11009,,55.0,,,,,,37.0,,,,
11010,,64.0,,,,,,32.0,,,,
11011,,53.0,,,,,,46.0,,,,
11012,,53.0,,,,,,37.0,,,,
11013,,58.0,,,,,,36.0,,,,
11014,,58.0,,,,,,65.0,,,,
11015,,56.0,,,,,,31.0,,,,
11016,,65.0,,,,,,95.0,,,,
11017,,47.0,,,,,,41.0,,,,
11018,,56.0,,,,,,45.0,,,,
11019,,55.0,,,,,,48.0,,,,
11020,,54.0,,,,,,56.0,,,,
11021,,60.0,,,,,,33.0,,,,
11022,,54.0,,,,,,27.0,,,,
11023,,55.0,,,,,,45.0,,,,
11024,,58.0,,,,,,44.0,,,,
11025,,58.0,,,,,,39.0,,,,
11026,,54.0,,,,,,48.0,,,,
11027,,53.0,,,,,,29.0,,,,
11028,,73.0,,,,,,44.0,,,,
11029,,57.0,,,,,,41.0,,,,
11030,,58.0,,,,,,64.0,,,,
11031,,60.0,,,,,,44.0,,,,
11032,,60.0,,,,,,30.0,,,,
11033,,62.0,,,,,,40.0,,,,
11034,,54.0,,,,,,36.0,,,,
11035,,55.0,,,,,,42.0,,,,
11036,,57.0,,,,,,47.0,,,,
11037,,58.0,,,,,,43.0,,,,
11038,,54.0,,,,,,45.0,,,,
11039,,52.0,,,,,,42.0,,,,
11040,,54.0,,,,,,40.0,,,,
11041,,50.0,,,,,,40.0,,,,
11042,,54.0,,,,,,49.0,,,,
11043,,53.0,,,,,,50.0,,,,
11044,,47.0,,,,,,34.0,,,,
11045,,69.0,,,,,,39.0,,,,
11046,,60.0,,,,,,31.0,,,,
11047,,48.0,,,,,,32.0,,,,
11048,,55.0,,,,,,43.0,,,,
11049,,56.0,,,,,,35.0,,,,
11050,,49.0,,,,,,33.0,,,,
11051,,52.0,,,,,,34.0,,,,
11052,,52.0,,,,,,35.0,,,,
11053,,57.0,,,,,,33.0,,,,
11054,,60.0,,,,,,46.0,,,,
11055,,58.0,,,,,,53.0,,,,
11056,,55.0,,,,,,36.0,,,,
11057,,60.0,,,,,,51.0,,,,
11058,,59.0,,,,,,35.0,,,,
11059,,48.0,,,,,,30.0,,,,
11060,,55.0,,,,,,35.0,,,,
11061,,64.0,,,,,,41.0,,,,
11062,,66.0,,,,,,42.0,,,,
11063,,60.0,,,,,,73.0,,,,
11064,,58.0,,,,,,42.0,,,,
11065,,58.0,,,,,,44.0,,,,
11066,,59.0,,,,,,40.0,,,,
11067,,54.0,,,,,,32.0,,,,
11068,,65.0,,,,,,40.0,,,,
11069,,51.0,,,,,,69.0,,,,
11070,,55.0,,,,,,39.0,,,,
11071,,68.0,,,,,,42.0,,,,
11072,,62.0,,,,,,38.0,,,,
11073,,50.0,,,,,,33.0,,,,
11074,,58.0,,,,,,55.0,,,,
11075,,50.0,,,,,,44.0,,,,
11076,,55.0,,,,,,36.0,,,,
11077,,55.0,,,,,,31.0,,,,
11078,,57.0,,,,,,37.0,,,,
11079,,52.0,,,,,,36.0,,,,
11080,,62.0,,,,,,41.0,,,,
11081,,60.0,,,,,,42.0,,,,
11082,,61.0,,,,,,42.0,,,,
11083,,51.0,,,,,,36.0,,,,
11084,,62.0,,,,,,30.0,,,,
11085,,63.0,,,,,,37.0,,,,
11086,,55.0,,,,,,40.0,,,,
11087,,56.0,,,,,,41.0,,,,
11088,,62.0,,,,,,42.0,,,,
11089,,66.0,,,,,,38.0,,,,
11090,,59.0,,,,,,51.0,,,,
11091,,48.0,,,,,,42.0,,,,
11092,,54.0,,,,,,40.0,,,,
11093,,57.0,,,,,,30.0,,,,
11094,,48.0,,,,,,34.0,,,,
11095,,56.0,,,,,,57.0,,,,
11096,,51.0,,,,,,37.0,,,,
11097,,58.0,,,,,,34.0,,,,
11098,,52.0,,,,,,52.0,,,,
11099,,49.0,,,,,,55.0,,,,
11100,,67.0,,,,,,50.0,,,,
11101,,61.0,,,,,,42.0,,,,
11102,,56.0,,,,,,44.0,,,,
11103,,57.0,,,,,,51.0,,,,
11104,,49.0,,,,,,28.0,,,,
11105,,55.0,,,,,,33.0,,,,
11106,,61.0,,,,,,57.0,,,,
11107,,55.0,,,,,,35.0,,,,
11108,,51.0,,,,,,25.0,,,,
11109,,48.0,,,,,,49.0,,,,
11110,,56.0,,,,,,32.0,,,,
11111,,57.0,,,,,,42.0,,,,
11112,,54.0,,,,,,38.0,,,,
11113,,55.0,,,,,,33.0,,,,
11114,,57.0,,,,,,31.0,,,,
11115,,57.0,,,,,,55.0,,,,
